sample_index,vehicle_id,sequence,fault_flag,generated_at_ms,middleware_received_at_ms,observed_at_ms,end_to_end_latency_ms
1,car01,541,0,1774231885615,1774231886177,1774231887506,1891
2,car01,542,0,1774231886619,1774231887202,1774231888303,1684
3,car01,543,1,1774231887620,1774231888225,1774231889303,1683
4,car01,545,0,1774231889625,1774231890272,1774231890395,770
5,car01,546,0,1774231890627,1774231891287,1774231891761,1134
6,car01,547,1,1774231891632,1774231892306,1774231892732,1100
7,car01,548,1,1774231892633,1774231893327,1774231893924,1291
8,car01,549,1,1774231893636,1774231894351,1774231894896,1260
9,car01,550,0,1774231894638,1774231895392,1774231895964,1326
10,car01,551,0,1774231895642,1774231896420,1774231897219,1577
11,car01,552,1,1774231896645,1774231897455,1774231898334,1689
12,car01,553,0,1774231897647,1774231898486,1774231899328,1681
13,car01,554,1,1774231898649,1774231899516,1774231900548,1899
14,car01,555,1,1774231899651,1774231900550,1774231901609,1958
15,car01,556,1,1774231900655,1774231901641,1774231902646,1991
16,car01,558,0,1774231902660,1774231902690,1774231903665,1005
17,car01,559,0,1774231903668,1774231903713,1774231904861,1193
18,car01,560,0,1774231904670,1774231904736,1774231905896,1226
19,car01,562,0,1774231906677,1774231906784,1774231906940,263
20,car01,563,1,1774231907707,1774231907821,1774231908041,334
21,car01,564,0,1774231908709,1774231908842,1774231909013,304
22,car01,565,1,1774231909710,1774231909886,1774231910058,348
23,car01,566,1,1774231910712,1774231910900,1774231911341,629
24,car01,567,1,1774231911713,1774231911915,1774231912377,664
25,car01,568,0,1774231912715,1774231912931,1774231913410,695
26,car01,569,1,1774231913718,1774231913955,1774231914425,707
27,car01,570,0,1774231914719,1774231914969,1774231915434,715
28,car01,571,0,1774231915721,1774231915998,1774231916679,958
29,car01,572,0,1774231916724,1774231917020,1774231917631,907
30,car01,573,1,1774231917726,1774231918044,1774231918911,1185
