sample_index,vehicle_id,sequence,fault_flag,generated_at_ms,middleware_received_at_ms,observed_at_ms,end_to_end_latency_ms
1,car01,597,1,1774231941887,1774231942615,1774231944919,3032
2,car01,598,1,1774231942892,1774231943627,1774231945173,2281
3,car01,600,0,1774231944898,1774231945654,1774231946237,1339
4,car01,601,0,1774231945909,1774231946664,1774231947253,1344
5,car01,602,0,1774231946916,1774231947738,1774231948494,1578
6,car01,603,1,1774231947920,1774231948764,1774231949638,1718
7,car01,604,1,1774231948924,1774231949774,1774231950593,1669
8,car01,605,0,1774231949944,1774231950787,1774231951883,1939
9,car01,606,1,1774231950966,1774231951801,1774231952990,2024
10,car01,607,1,1774231951970,1774231952824,1774231954084,2114
11,car01,609,1,1774231953976,1774231954855,1774231955109,1133
12,car01,610,1,1774231954982,1774231955885,1774231956181,1199
13,car01,611,1,1774231955990,1774231956933,1774231957306,1316
14,car01,612,1,1774231956995,1774231957977,1774231958389,1394
15,car01,613,1,1774231958003,1774231959003,1774231959594,1591
16,car01,615,0,1774231960007,1774231960024,1774231960559,552
17,car01,616,0,1774231961009,1774231961052,1774231961576,567
18,car01,617,1,1774231962013,1774231962087,1774231962830,817
19,car01,618,0,1774231963017,1774231963111,1774231963896,879
20,car01,619,0,1774231964019,1774231964142,1774231964920,901
21,car01,620,0,1774231965022,1774231965175,1774231966013,991
22,car01,621,0,1774231966026,1774231966224,1774231967216,1190
23,car01,622,0,1774231967036,1774231967250,1774231968311,1275
24,car01,623,1,1774231968039,1774231968295,1774231969365,1326
25,car01,624,0,1774231969047,1774231969326,1774231970353,1306
26,car01,625,1,1774231970052,1774231970358,1774231971605,1553
27,car01,627,0,1774231972059,1774231972373,1774231972612,553
28,car01,628,0,1774231973061,1774231973384,1774231973668,607
29,car01,629,0,1774231974063,1774231974401,1774231974658,595
30,car01,630,1,1774231975065,1774231975411,1774231975760,695
