sample_index,vehicle_id,sequence,fault_flag,generated_at_ms,middleware_received_at_ms,observed_at_ms,end_to_end_latency_ms
1,car01,659,0,1774232004271,1774232005128,1774232007038,2767
2,car01,661,1,1774232006275,1774232007210,1774232007531,1256
3,car01,662,0,1774232007290,1774232008230,1774232008561,1271
4,car01,663,0,1774232008293,1774232009246,1774232009633,1340
5,car01,664,1,1774232009296,1774232010254,1774232010604,1308
6,car01,665,0,1774232010300,1774232011260,1774232011627,1327
7,car01,666,1,1774232011302,1774232012269,1774232012854,1552
8,car01,667,0,1774232012303,1774232013276,1774232013808,1505
9,car01,668,1,1774232013305,1774232014288,1774232014848,1543
10,car01,669,1,1774232014306,1774232015311,1774232016101,1795
11,car01,671,0,1774232016314,1774232016351,1774232017093,779
12,car01,672,1,1774232017319,1774232017370,1774232018265,946
13,car01,673,0,1774232018321,1774232018389,1774232019289,968
14,car01,674,1,1774232019325,1774232019416,1774232020243,918
15,car01,675,1,1774232020327,1774232020437,1774232021418,1091
16,car01,676,0,1774232021329,1774232021459,1774232022397,1068
17,car01,677,0,1774232022331,1774232022481,1774232023398,1067
18,car01,678,0,1774232023333,1774232023504,1774232024562,1229
19,car01,679,1,1774232024336,1774232024534,1774232025521,1185
20,car01,680,0,1774232025338,1774232025563,1774232026614,1276
21,car01,681,1,1774232026340,1774232026601,1774232027739,1399
22,car01,683,1,1774232028367,1774232028736,1774232029226,859
23,car01,684,1,1774232029440,1774232029784,1774232030719,1279
24,car01,685,0,1774232030443,1774232030869,1774232031440,997
25,car01,686,0,1774232031447,1774232031897,1774232032660,1213
26,car01,687,0,1774232032448,1774232032922,1774232033729,1281
27,car01,688,1,1774232033450,1774232033948,1774232034683,1233
28,car01,689,0,1774232034464,1774232034971,1774232036038,1574
29,car01,690,0,1774232035466,1774232036030,1774232037043,1577
30,car01,691,1,1774232036468,1774232037065,1774232037994,1526
